decision_model,gameweeks,mean_expected_realized_points,mean_realized_points,mean_autosub_points,unreplaced_rate,captain_agreement_d1_vs_d2,mean_lineup_overlap_d1_vs_d2,d2_minus_d1_fold_realized_differences,d2_minus_d1_mean_realized_difference,d2_minus_d1_mean_realized_difference_2dp,paired_difference_ci_low,paired_difference_ci_high,source_run_id,population,grain,limitation
D2_EXPECTED_REALIZED_POINTS,3,49.4872857038,59.6666666667,1.66666666667,0.333333333333,1,1,"[2, 0, 2]",1.33333333333,1.33,0,2,phase9b13_goalkeeper_scoring_corrected_exact_decisions_gw1_clean_034830b041c1,weekly_reset_historical_gw1_decisions,one_decision_per_gameweek,Only three GW1 decisions; interval is descriptive and very unstable.
D1_MEAN_ONLY_MILP,3,48.758283911,58.3333333333,0.333333333333,0.666666666667,1,1,"[2, 0, 2]",1.33333333333,1.33,0,2,phase9b13_goalkeeper_scoring_corrected_exact_decisions_gw1_clean_034830b041c1,weekly_reset_historical_gw1_decisions,one_decision_per_gameweek,Only three GW1 decisions; interval is descriptive and very unstable.
