comparison_block,source_run_id,model,seasons,evaluation_mode,folds,population,grain,rows,mae,rmse,bias,appearance_brier,start_brier,spearman
rolling,phase9b12_minutes_rolling,M3_EWMA_MINUTES,"2023-24,2024-25,2025-26",rolling,114,all_observed_players,player_fixture,86755,11.6506018978,23.0598633813,0.0801697073379,0.128810591671,0.0829122473338,0.779677291289
rolling,phase9b12_minutes_rolling,M5_REGULARIZED_STATE_SOFTMAX,"2023-24,2024-25,2025-26",rolling,114,all_observed_players,player_fixture,86755,15.6355918467,23.5096524155,0.571708278662,0.108088254151,0.0886615374499,0.750904403324
rolling,phase9b12_minutes_rolling,M7_HIERARCHICAL_AVAILABILITY_STATE,"2023-24,2024-25,2025-26",rolling,114,all_observed_players,player_fixture,86755,20.4242711692,27.1734370504,2.90120767799,0.155963201304,0.114623317308,0.67088441716
historical_gw1,phase9b12_minutes_gw1,M3_EWMA_MINUTES,"2023-24,2024-25,2025-26",gw1,3,all_observed_players,player_fixture,1964,22.7697542368,37.836208416,-2.1782444559,0.256283756668,0.200191080697,0.470300809567
historical_gw1,phase9b12_minutes_gw1,M5_REGULARIZED_STATE_SOFTMAX,"2023-24,2024-25,2025-26",gw1,3,all_observed_players,player_fixture,1964,25.0932259877,33.7844478218,-0.686469907481,0.20324413761,0.171713041491,0.514742339396
historical_gw1,phase9b12_minutes_gw1,M7_HIERARCHICAL_AVAILABILITY_STATE,"2023-24,2024-25,2025-26",gw1,3,all_observed_players,player_fixture,1964,27.2270844391,32.7001040322,2.59899271802,0.209781419043,0.161308275443,0.53880817173
