gameweek,authoritative_run_id,actions_run_url,deadline_utc,run_manifest_completed_at_utc,bundle_freeze_at_utc,frozen_branch_commit,frozen_run_manifest_url,forecast_code_sha,status,scope
1,official_2026-27_32426340633_1,https://github.com/daniel-mehta/fpl-forecast/actions/runs/32426340633,2026-08-21T17:30:00Z,2026-08-20T23:01:44.295591Z,2026-08-20T23:01:51.0025367Z,95af5c8,https://raw.githubusercontent.com/daniel-mehta/fpl-forecast/95af5c8/data/run_manifest.json,01c1808f183761214f744a6dcac6c41dc1044fd8,success,pre-deadline publication; no accuracy result
2,official_2026-27_33092707985_1,https://github.com/daniel-mehta/fpl-forecast/actions/runs/33092707985,2026-08-28T17:30:00Z,2026-08-27T16:33:06.287235Z,2026-08-27T16:33:13.8890981Z,b5790ad,https://raw.githubusercontent.com/daniel-mehta/fpl-forecast/b5790ad/data/run_manifest.json,10906edf403dc546b53339fc9e9d0934d1da7f07,success,pre-deadline publication; no accuracy result
3,official_2026-27_33873234018_1,https://github.com/daniel-mehta/fpl-forecast/actions/runs/33873234018,2026-09-04T17:30:00Z,2026-09-04T12:45:06.854947Z,2026-09-04T12:45:14.0677590Z,bc4424f,https://raw.githubusercontent.com/daniel-mehta/fpl-forecast/bc4424f/data/run_manifest.json,620e9d977dcc8031cfc5029e42c71de4b60aa221,success,pre-deadline publication; no accuracy result
4,official_2026-27_34691025550_1,https://github.com/daniel-mehta/fpl-forecast/actions/runs/34691025550,2026-09-12T12:30:00Z,2026-09-12T11:38:33.807481Z,2026-09-12T11:38:41.5223386Z,6370981,https://raw.githubusercontent.com/daniel-mehta/fpl-forecast/6370981/data/run_manifest.json,620e9d977dcc8031cfc5029e42c71de4b60aa221,success,pre-deadline publication; no accuracy result
5,official_2026-27_35372085153_1,https://github.com/daniel-mehta/fpl-forecast/actions/runs/35372085153,2026-09-18T17:30:00Z,2026-09-18T17:12:24.891998Z,2026-09-18T17:12:33.2776658Z,4903b0b,https://raw.githubusercontent.com/daniel-mehta/fpl-forecast/4903b0b/data/run_manifest.json,2a37dc5e9316242fcde5c1ccc8998ded0c8ff715,success,pre-deadline publication; no accuracy result
6,official_2026-27_35718287368_1,https://github.com/daniel-mehta/fpl-forecast/actions/runs/35718287368,2026-10-10T10:00:00Z,2026-09-22T11:06:58.764088Z,2026-09-22T11:07:13.0187797Z,f765146,https://raw.githubusercontent.com/daniel-mehta/fpl-forecast/f765146/data/run_manifest.json,2a37dc5e9316242fcde5c1ccc8998ded0c8ff715,success,pre-deadline publication; no accuracy result
